"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5416304";"";"None";"276.32";"0";"2.74";"223";"CC(=O)/C=C/Nc1nc(-c2ccc(O)cc2O)cs1";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"19.74";"0.39";"2.72";"6.62";"0";"CHEMBL5331159";"Inhibition of human tyrosinase using L-DOPA as substrate incubated for 10 to 20 mins by MBTH dye based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331042";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME_Lower = 10.0 min | TIME_Upper = 20.0 min";"INHIBITOR";"";"3.5"
"CHEMBL26443";"";"None";"257.20";"0";"0.04";"2a";"C[C@H](NC(=O)OCc1cc(=O)c(O)co1)C(=O)O";"IC50";"'='";"23210.0";"nM";"4.63";"";"";"UO_0000065";"18.02";"0.35";"4.59";"3.68";"0";"CHEMBL813551";"Compound was evaluated for inhibition of tyrosinase enzyme.";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"23.21"
"CHEMBL95890";"";"None";"705.72";"2";"3.69";"Ko-FWW";"O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCc1cc(=O)c(O)co1";"IC50";"'='";"6170.0";"nM";"5.21";"";"";"UO_0000065";"7.38";"0.14";"1.52";"2.41";"0";"CHEMBL814341";"Inhibitory activity against mushroom tyrosinase";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148263";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"6.17"
"CHEMBL246622";"";"None";"290.27";"0";"1.91";"2";"O=C(OCCc1cccc(O)c1)c1cc(O)c(O)c(O)c1";"IC50";"'='";"15210.0";"nM";"4.82";"";"";"UO_0000065";"16.60";"0.31";"2.91";"4.49";"0";"CHEMBL940816";"Inhibition of tyrosinase in Melan-a cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Melan-a";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139787";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"15.21"
"CHEMBL317947";"";"None";"634.60";"2";"1.44";"Ko-FWD";"O=C(O)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1cc(=O)c(O)co1)C(=O)O";"IC50";"'='";"2130.0";"nM";"5.67";"";"";"UO_0000065";"8.94";"0.17";"4.23";"2.39";"0";"CHEMBL814341";"Inhibitory activity against mushroom tyrosinase";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148263";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"2.13"
"CHEMBL98925";"";"None";"643.65";"2";"2.43";"Ko-FFY";"O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)OCc1cc(=O)c(O)co1";"IC50";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"10.07";"0.19";"4.05";"3.17";"0";"CHEMBL814341";"Inhibitory activity against mushroom tyrosinase";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148263";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.33"
"CHEMBL430002";"";"None";"233.29";"0";"2.16";"PTIO";"CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1054042";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153005";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";""
"CHEMBL499124";"";"None";"246.26";"0";"2.29";"7";"Oc1ccc(CCc2ccc(O)cc2O)c(O)c1";"IC50";"'='";"370.0";"nM";"6.43";"";"";"UO_0000065";"26.12";"0.49";"4.14";"7.95";"0";"CHEMBL1764166";"Inhibition of Tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1759884";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";"";"";"0.37"
"CHEMBL388452";"ARCTIIN";"None";"534.56";"2";"0.47";"14";"COc1ccc(C[C@H]2COC(=O)[C@@H]2Cc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)cc1OC";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4393647";"Inhibition of tyrosinase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392888";"1";"Scientific Literature";"J Nat Prod";"2019";"None";"";"";"";"50.0"
"CHEMBL5440495";"";"None";"304.42";"0";"3.99";"230";"CN(c1nc(-c2ccc(O)cc2O)cs1)C1CCCCC1";"IC50";"'='";"40000.0";"nM";"4.40";"";"";"UO_0000065";"14.45";"0.29";"0.41";"7.77";"0";"CHEMBL5331159";"Inhibition of human tyrosinase using L-DOPA as substrate incubated for 10 to 20 mins by MBTH dye based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331042";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME_Lower = 10.0 min | TIME_Upper = 20.0 min";"INHIBITOR";"";"40.0"
